NAME     MU                  RADIUS  COLOR   PARENT SEMIMAJOR    ECC   INCL  LAN   ARGP MAAE
Kerbol   1.17233279483249e18 2.616e8 FFFF00  -
Moho     1.68609378654509e11 250000  FCB64C  Kerbol 5263138304   0.2   7     70    15   3.14
Eve      8.17173022921085e12 700000  9B42F5  Kerbol 9832684544   0.01  2.1   15    0    3.14
  Gilly  8.28944981471635e6  13000   F5D5B3  Eve    31500000     0.55  12    80    10   0.9
Kerbin   3.531600000000e12   650000  A7EBE8  Kerbol 13599840256  0     0     0     0    3.14
  Mun    6.51383975207806e10 200000  B4B4B4  Kerbin 12000000     0     0     0     0    1.7
  Minmus 1.76580002631247e9  60000   C896FF  Kerbin 47000000     0     6     78    38   0.9
Duna     3.01363211975098e11 320000  AD3713  Kerbol 20726155264  0.051 0.06  135.5 0    3.14
  Ike    1.85683685731441e10 130000  919191  Duna   3200000      0.03  0.2   0     0    1.7
Dres     2.1484488600e10     138000  B5AD94  Kerbol 40839348203  0.145 5     280   90   3.14
Jool     2.82528004209995e14 6e6     15BF3D  Kerbol 68773560320  0.05  1.304 52    0    0.1
  Laythe 1.96200002923608e12 500000  1328C2  Jool   27184000     0     0     0     0    3.14
  Vall   2.07481499473751e11 300000  7FE7EB  Jool   43152000     0     0     0     0    0.9
  Tylo   2.82528004209995e12 600000  F0CD89  Jool   68500000     0     0.025 0     0    3.14
  Bop    2.48683494441491e9  65000   732E26  Jool   128500000    0.235 15    10    12   0.9
  Pol    7.21702080e8        44000   E3DA7B  Jool   179890000    0.171 4.25  2     15   0.9
Eeloo    7.44108145270496e10 210000  DEFAF9  Kerbol 90118820000  0.260 6.15  50    260  3.14
